[2026-01-31 01:56:07,975: INFO: main]: Starting the Text Summarizer application...
[2026-05-18 01:24:08,453: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:24:08,456: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:24:08,459: ERROR: common]: BoxValueError: First argument must be mapping or iterable
[2026-05-18 01:27:14,354: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:27:14,356: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:27:14,357: ERROR: common]: BoxValueError: First argument must be mapping or iterable
[2026-05-18 01:28:03,266: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:28:03,267: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:28:03,269: ERROR: common]: BoxValueError: First argument must be mapping or iterable
[2026-05-18 01:29:11,690: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:29:11,692: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:29:11,692: ERROR: common]: BoxValueError: First argument must be mapping or iterable
[2026-05-18 01:30:11,639: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:30:11,642: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:30:11,644: INFO: common]: Directory created at: artifacts
[2026-05-18 01:30:17,876: ERROR: common]: Error reading YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml'
[2026-05-18 01:32:02,773: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:32:02,782: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:32:02,782: INFO: common]: Directory created at: artifacts
[2026-05-18 01:32:14,508: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:32:14,510: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:32:14,512: INFO: common]: Directory created at: artifacts
[2026-05-18 01:33:37,587: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:33:37,590: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:33:37,591: INFO: common]: Directory created at: artifacts
[2026-05-18 01:34:24,844: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:34:24,846: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:34:24,848: INFO: common]: Directory created at: artifacts
[2026-05-18 01:34:37,180: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:34:37,182: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:34:37,184: INFO: common]: Directory created at: artifacts
[2026-05-18 01:37:43,469: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:37:43,472: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:37:43,475: INFO: common]: Directory created at: artifacts
[2026-05-18 01:37:49,720: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:37:49,720: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 01:39:05,600: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 01:39:05,602: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 21:58:24,194: ERROR: common]: Error reading YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml'
[2026-05-18 21:59:03,736: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 21:59:03,760: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 21:59:03,763: INFO: common]: Directory created at: artifacts
[2026-05-18 22:05:08,889: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:05:08,893: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:05:08,900: INFO: common]: Directory created at: artifacts
[2026-05-18 22:05:43,277: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:05:43,282: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:05:43,286: INFO: common]: Directory created at: artifacts
[2026-05-18 22:10:29,715: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:10:29,720: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:10:29,720: INFO: common]: Directory created at: artifacts
[2026-05-18 22:11:16,240: ERROR: common]: Error reading YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml'
[2026-05-18 22:12:41,927: ERROR: common]: Error reading YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml'
[2026-05-18 22:13:15,616: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:13:15,623: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:13:15,623: INFO: common]: Directory created at: artifacts
[2026-05-18 22:17:25,613: ERROR: common]: Error reading YAML file at config\config.yaml: [Errno 2] No such file or directory: 'config\\config.yaml'
[2026-05-18 22:17:37,697: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:17:37,707: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:17:37,707: INFO: common]: Directory created at: artifacts
[2026-05-18 22:18:31,887: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:18:31,892: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:18:31,898: INFO: common]: Directory created at: artifacts
[2026-05-18 22:19:59,929: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:19:59,929: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:19:59,938: INFO: common]: Directory created at: artifacts
[2026-05-18 22:20:29,811: INFO: common]: YAML file config\config.yaml loaded successfully.
[2026-05-18 22:20:29,815: INFO: common]: YAML file params.yaml loaded successfully.
[2026-05-18 22:20:29,820: INFO: common]: Directory created at: artifacts
[2026-05-18 22:21:39,012: INFO: common]: YAML file config\config.yaml loaded successfully.
